Barcode 	 Correct reads 	 Corrected reads
A03C82B86D35N501	1	0
A03C83B67D91N502	1	0
A03C83B88D27N502	1	0
A03C83B89D17N502	1	0
A03C84B19D44N502	1	0
A03C84B29D93N502	1	0
A03C84B41D84N501	1	0
A03C84B58D15N501	1	0
A03C85B51D75N502	0	1
A03C86B08D24N501	1	0
A03C86B18D51N502	1	0
A03C86B57D91N501	1	0
A03C86B77D79N501	1	0
A03C87B11D63N502	1	0
A03C88B13D50N501	0	1
A03C88B31D15N501	1	0
A03C88B45D69N501	0	1
A03C89B12D60N502	1	0
A03C89B58D12N502	1	0
A03C90B13D02N502	0	1
A03C90B95D43N502	1	0
A03C91B01D49N501	0	1
A03C91B48D15N501	1	0
A03C91B51D78P999	1	0
A03C92B02D38N502	1	0
A03C92B64D57N502	1	0
A03C93B28D81N501	1	0
A03C93B45D25N501	1	0
A03C93B50D42N502	0	1
A03C94B59D93N501	1	0
A03C95B57D07N502	1	0
A03C96B01D89N502	1	0
A03C96B70D66N501	1	0
A04C01B04D78N501	1	0
A04C01B48D95N502	1	0
A04C01B91D14N502	1	0
A04C02B84D86N502	1	0
A04C03B67D58N501	1	0
A04C03B77D29N501	0	1
A04C03B81D65N501	1	0
A04C03B86D22N502	0	1
A04C05B34D51N502	0	1
A04C05B60D49N501	1	0
A04C06B60D66N502	1	0
A04C07B36D60N502	1	0
A04C09B08D09N501	1	0
A04C09B89D01N501	1	0
A04C10B02D20N502	1	0
A04C10B04D87N501	1	0
A04C10B05D08N502	0	1
A04C10B28D05N502	1	0
A04C10B30D46N501	0	1
A04C10B43D60N501	0	1
A04C10B76D33N502	1	0
A04C10B96D13N501	1	0
A04C11B07D73N502	1	0
A04C11B27D52N501	1	0
A04C11B38D15N502	1	0
A04C11B65D05N502	1	0
A04C11B96D82N502	1	0
A04C12B07D74N501	0	1
A04C12B18D69N502	1	0
A04C12B30D15N501	1	0
A04C13B16D02N501	1	0
A04C13B22D63N502	1	0
A04C13B39D30N502	1	0
A04C13B58D52N502	1	0
A04C13B62D42N502	0	1
A04C13B84D71N502	1	0
A04C14B41D46N502	1	0
